JobID,Network Id,Existing 035a,Incoming 035a,Action
CEF_1012688_1748084545832::bib::830122,992270247105151,7740590,7740590,match
CEF_1012688_1748084545832::bib::832549,994283720205151,18855993,18855993,match
CEF_1012688_1748084545832::bib::833388,991975841205151,933180767,933180767,match
CEF_1012688_1748084545832::bib::835172,992406004905151,17791042,17791042,match
CEF_1012688_1748084545832::bib::836396,992849819505151,287969890,287969890,match
CEF_1012688_1748084545832::bib::837174,992866664105151,402199399,1073094652,match
CEF_1012688_1748084545832::bib::842375,994509855305151,59497956,59497956,match
CEF_1012688_1748084545832::bib::843562,991586307405151,13455957,13455957,match
CEF_1012688_1748084545832::bib::845652,992874786105151,1044338657,64009261,match
CEF_1012688_1748084545832::bib::848087,992264441405151,226984674,226984674,match
CEF_1012688_1748084545832::bib::849554,992869911805151,166546759,166546759,match
CEF_1012688_1748084545832::bib::850517,992117338305151,13455323,13455323,match
CEF_1012688_1748084545832::bib::852242,991947910805151,227000201,227000201,match
CEF_1012688_1748084545832::bib::85271,994538622105151,31704016,31704016,match
CEF_1012688_1748084545832::bib::853160,992852315405151,1044001818,1044001818,replace
CEF_1012688_1748084545832::bib::854032,992882194105151,977829412,977829412,match
CEF_1012688_1748084545832::bib::855117,991938762005151,15794969,15794969,match
CEF_1012688_1748084545832::bib::856218,992871871305151,9630122,9630122,match
CEF_1012688_1748084545832::bib::857384,991459733505151,13332626,13332626,match
CEF_1012688_1748084545832::bib::858218,992860151505151,16577374,16577374,match
CEF_1012688_1748084545832::bib::859366,992882127805151,17581104,17581104,match
CEF_1012688_1748084545832::bib::860193,991719871905151,9412965,9412965,match
CEF_1012688_1748084545832::bib::861250,991719865305151,671487215,671487215,match
CEF_1012688_1748084545832::bib::862043,992863400905151,43977842,43977842,match
CEF_1012688_1748084545832::bib::866900,994509848605151,59011439,59011439,match
CEF_1012688_1748084545832::bib::870248,994282992405151,13815384,13815384,match
CEF_1012688_1748084545832::bib::87091,994538621905151,33897718,33897718,match
CEF_1012688_1748084545832::bib::871718,992849523405151,1044495403,1029438017,match
CEF_1012688_1748084545832::bib::873305,991614299405151,213340730,213340730,match
CEF_1012688_1748084545832::bib::875027,992145538705151,180573405,180573405,match
CEF_1012688_1748084545832::bib::877441,992198429905151,13159273,13159273,match
CEF_1012688_1748084545832::bib::878551,992191031905151,20672506,20672506,match
CEF_1012688_1748084545832::bib::879779,992858893505151,263914992,263914992,match
CEF_1012688_1748084545832::bib::881520,991836498605151,263300343,263300343,match
CEF_1012688_1748084545832::bib::882757,992862456805151,52516658,52516658,match
CEF_1012688_1748084545832::bib::884581,992384040105151,13124507,13124507,match
CEF_1012688_1748084545832::bib::886618,991465501205151,13122067,13122067,match
CEF_1012688_1748084545832::bib::889395,992862457305151,34543930,34543930,match
CEF_1012688_1748084545832::bib::890499,991957192905151,16063562,16063562,match
CEF_1012688_1748084545832::bib::892207,991748878705151,15549832,15549832,match
CEF_1012688_1748084545832::bib::893525,992887515105151,1044561798,1520945608,create
